treasure itemtypes "Common","Uncommon","Rare","Epic","Legendary","Divine","Unique"
new treasuretable "HeroesFeast"
new subtable "1,1"
object category "I_CONS_DRINK_Wine_Bottle_Wicker_HeroesFeast",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_CONS_FOOD_Pastry_Tart_HeroesFeast",1,0,0,0,0,0,0,0
object category "I_CONS_FOOD_Pizza_HeroesFeast",1,0,0,0,0,0,0,0
object category "I_CONS_FOOD_Porridge_Fruits_HeroesFeast",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_Food_Bubble_Squeak_HeroesFeast",1,0,0,0,0,0,0,0
object category "I_CONS_FOOD_Paella_HeroesFeast",1,0,0,0,0,0,0,0
object category "I_CONS_FOOD_PezhKuresh_HeroesFeast",1,0,0,0,0,0,0,0
object category "I_CONS_FOOD_Poutine_HeroesFeast",1,0,0,0,0,0,0,0
object category "I_CONS_FOOD_Dinner_HeroesFeast",1,0,0,0,0,0,0,0
object category "I_CONS_FOOD_Turkey_HeroesFeast",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_CONS_DRINK_Water_Bottle_Wicker_HeroesFeast",1,0,0,0,0,0,0,0
new subtable "2,1"
object category "I_CONS_FOOD_Fruit_Melon_Piece_HeroesFeast",1,0,0,0,0,0,0,0
object category "I_CONS_FOOD_Fruit_Grapes_Purple_HeroesFeast",1,0,0,0,0,0,0,0
object category "I_CONS_FOOD_Fruit_Grapes_Green_HeroesFeast",1,0,0,0,0,0,0,0
object category "I_CONS_FOOD_Cheese_Goat_Piece_HeroesFeast",1,0,0,0,0,0,0,0
object category "I_CONS_DRINK_Coffee_HeroesFeast",1,0,0,0,0,0,0,0
object category "I_CONS_FOOD_Pastry_Roll_HeroesFeast",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_Food_Haggis",1,0,0,0,0,0,0,0
new treasuretable "DivineIntervention_Potions"
new subtable "2,1;3,1;4,1"
object category "I_OBJ_Potion_Healing_Superior",3,0,0,0,0,0,0,0
object category "I_OBJ_Potion_Healing_Supreme",2,0,0,0,0,0,0,0
new subtable "7,1;6,1"
object category "I_OBJ_Potion_Of_Speed",1,0,0,0,0,0,0,0
object category "I_OBJ_Potion_Of_Invisibility",1,0,0,0,0,0,0,0
object category "I_ALCH_Solution_Potion_Flying",1,0,0,0,0,0,0,0
object category "I_OBJ_Potion_Of_Invulnerability",1,0,0,0,0,0,0,0
object category "I_ALCH_Solution_Potion_Remedy",1,0,0,0,0,0,0,0
object category "I_ALCH_Solution_Elixir_Barkskin",1,0,0,0,0,0,0,0
object category "I_OBJ_Potion_Of_Cloud_Giant_Strength",1,0,0,0,0,0,0,0
object category "I_OBJ_Potion_Of_Heroism",1,0,0,0,0,0,0,0
object category "I_ALCH_Solution_Elixir_Meditation_Supreme",1,0,0,0,0,0,0,0
new treasuretable "ST_Burrow_Ingredients"
new subtable "1,1"
object category "I_CONS_Mushrooms_SilvanTruffle",1,0,0,0,0,0,0,0
object category "I_CONS_Mushrooms_BullywugTrumpet",1,0,0,0,0,0,0,0
object category "I_CONS_Mushrooms_DragonEggMushroom",1,0,0,0,0,0,0,0
object category "I_CONS_Herbs_Mugwort",1,0,0,0,0,0,0,0
